Protein_ID,Localizations,Signals,Membrane types,Cytoplasm,Nucleus,Extracellular,Cell membrane,Mitochondrion,Plastid,Endoplasmic reticulum,Lysosome/Vacuole,Golgi apparatus,Peroxisome,Peripheral,Transmembrane,Lipid anchor,Soluble
GCA_016628565.1,Mitochondrion,Mitochondrial transit peptide,Peripheral|Soluble,0.27309998869895935,0.13040000200271606,0.026499999687075615,0.047600001096725464,0.7990000247955322,0.0012000000569969416,0.03709999844431877,0.03189999982714653,0.03889999911189079,0.00430000014603138,0.6018000245094299,0.07829999923706055,0.07569999992847443,0.7361999750137329
GCA_022578615.1,Mitochondrion,Mitochondrial transit peptide,Peripheral|Soluble,0.17790000140666962,0.12800000607967377,0.0210999995470047,0.03819999843835831,0.9045000076293945,0.0035000001080334187,0.03689999878406525,0.033799998462200165,0.055399999022483826,0.012000000104308128,0.6334999799728394,0.08789999783039093,0.062300000339746475,0.7383999824523926
GCA_011801305.2,Mitochondrion,Mitochondrial transit peptide,Peripheral|Soluble,0.2492000013589859,0.15360000729560852,0.019999999552965164,0.05400000140070915,0.864799976348877,0.0026000000070780516,0.0494999997317791,0.06589999794960022,0.06319999694824219,0.0052999998442828655,0.6258000135421753,0.07349999994039536,0.08500000089406967,0.7404999732971191
GCA_033819875.1,Mitochondrion,Mitochondrial transit peptide,Peripheral|Soluble,0.23649999499320984,0.155799999833107,0.02239999920129776,0.07150000333786011,0.8809000253677368,0.0015999999595806003,0.09000000357627869,0.07450000196695328,0.05050000175833702,0.00570000009611249,0.6851999759674072,0.09749999642372131,0.09390000253915787,0.680899977684021
GCA_900002365.1,Mitochondrion,Mitochondrial transit peptide,Peripheral|Soluble,0.26420000195503235,0.14560000598430634,0.030799999833106995,0.044599998742341995,0.8826000094413757,0.003599999938160181,0.027499999850988388,0.031099999323487282,0.029500000178813934,0.0027000000700354576,0.617900013923645,0.05339999869465828,0.1005999967455864,0.770799994468689
GCA_020500805.1,Mitochondrion,Mitochondrial transit peptide,Peripheral|Soluble,0.1623000055551529,0.125,0.04179999977350235,0.04309999942779541,0.8657000064849854,0.00419999985024333,0.02329999953508377,0.04270000010728836,0.045099999755620956,0.006899999920278788,0.6341000199317932,0.061000000685453415,0.08309999853372574,0.7588000297546387
GCA_004679275.1,Mitochondrion,Mitochondrial transit peptide,Peripheral|Soluble,0.2522999942302704,0.15919999778270721,0.037700001150369644,0.07720000296831131,0.7613000273704529,0.005900000222027302,0.061000000685453415,0.049800001084804535,0.07680000364780426,0.014800000004470348,0.6218000054359436,0.09560000151395798,0.07169999927282333,0.7096999883651733
GCA_030061565.1,Mitochondrion,Mitochondrial transit peptide,Peripheral|Soluble,0.17260000109672546,0.12290000170469284,0.02810000069439411,0.04170000180602074,0.8726999759674072,0.0032999999821186066,0.025200000032782555,0.04410000145435333,0.04830000177025795,0.006300000008195639,0.6050999760627747,0.06379999965429306,0.0746999979019165,0.7818999886512756
GCA_000977265.3,Mitochondrion,Mitochondrial transit peptide,Peripheral|Soluble,0.2978000044822693,0.11909999698400497,0.02160000056028366,0.058800000697374344,0.8779000043869019,0.0017999999690800905,0.08540000021457672,0.07109999656677246,0.051500000059604645,0.008299999870359898,0.6534000039100647,0.07329999655485153,0.07349999994039536,0.7476999759674072
GCA_026024425.1,Cytoplasm,Mitochondrial transit peptide,Soluble,0.4088999927043915,0.13950000703334808,0.03350000083446503,0.0414000004529953,0.5315999984741211,0.0026000000070780516,0.11140000075101852,0.07440000027418137,0.12129999697208405,0.09229999780654907,0.5935999751091003,0.0738999992609024,0.09889999777078629,0.7475000023841858
GCA_902827195.2,Mitochondrion,Mitochondrial transit peptide,Peripheral|Soluble,0.1777999997138977,0.10339999943971634,0.021400000900030136,0.06560000032186508,0.8474000096321106,0.007300000172108412,0.03779999911785126,0.05180000141263008,0.06610000133514404,0.012500000186264515,0.6136000156402588,0.09229999780654907,0.07069999724626541,0.742900013923645
GCA_001654555.2,Mitochondrion,Mitochondrial transit peptide,Peripheral|Soluble,0.17949999868869781,0.12929999828338623,0.020099999383091927,0.050200000405311584,0.8537999987602234,0.003100000089034438,0.04960000142455101,0.038100000470876694,0.06379999965429306,0.006500000134110451,0.6233000159263611,0.08820000290870667,0.06650000065565109,0.7429999709129333
GCA_012656375.1,Mitochondrion,Mitochondrial transit peptide,Peripheral|Soluble,0.16269999742507935,0.12780000269412994,0.041600000113248825,0.04430000111460686,0.8694999814033508,0.00419999985024333,0.02370000071823597,0.042500000447034836,0.04450000077486038,0.0066999997943639755,0.638700008392334,0.061000000685453415,0.08309999853372574,0.7584999799728394
GCA_949121745.1,Mitochondrion,Mitochondrial transit peptide,Peripheral|Soluble,0.2953999936580658,0.11890000104904175,0.02239999920129776,0.06109999865293503,0.8799999952316284,0.0019000000320374966,0.0851999968290329,0.07249999791383743,0.052799999713897705,0.00800000037997961,0.6545000076293945,0.07360000163316727,0.07450000196695328,0.7484999895095825
GCA_003850985.1,Mitochondrion,Mitochondrial transit peptide,Peripheral|Soluble,0.2515000104904175,0.11050000041723251,0.04010000079870224,0.04529999941587448,0.8252999782562256,0.004100000020116568,0.04529999941587448,0.051500000059604645,0.060100000351667404,0.019099999219179153,0.6074000000953674,0.05079999938607216,0.08820000290870667,0.76419997215271
GCA_009193465.1,Mitochondrion,Mitochondrial transit peptide,Peripheral|Soluble,0.19580000638961792,0.1289999932050705,0.039000000804662704,0.05009999871253967,0.8385999798774719,0.0038999998942017555,0.039400000125169754,0.046799998730421066,0.062199998646974564,0.009999999776482582,0.6276000142097473,0.05810000002384186,0.0997999981045723,0.7628999948501587
GCA_027603655.1,Cytoplasm,,Soluble,0.651199996471405,0.17990000545978546,0.03189999982714653,0.11649999767541885,0.6129000186920166,0.009399999864399433,0.08550000190734863,0.11209999769926071,0.06920000165700912,0.04470000043511391,0.5914999842643738,0.07559999823570251,0.0794999971985817,0.7623000144958496
GCA_949124525.1,Mitochondrion,Mitochondrial transit peptide,Peripheral|Soluble,0.2924000024795532,0.11710000038146973,0.020800000056624413,0.058800000697374344,0.8804000020027161,0.0019000000320374966,0.08720000088214874,0.07020000368356705,0.05169999971985817,0.008100000210106373,0.6523000001907349,0.07479999959468842,0.07320000231266022,0.7461000084877014
GCA_000524645.1,Mitochondrion,Mitochondrial transit peptide,Peripheral|Soluble,0.2574000060558319,0.0989999994635582,0.03290000185370445,0.06639999896287918,0.8136000037193298,0.0013000000035390258,0.06949999928474426,0.0689999982714653,0.07599999755620956,0.006200000178068876,0.6331999897956848,0.06289999932050705,0.1145000010728836,0.7433000206947327
