Protein_ID	Smiles	Pre_label
GCA_016628565.1	C(CC(=O)O)C(=O)C(=O)O	0.33615353648645774
GCA_022578615.1	C(CC(=O)O)C(=O)C(=O)O	0.22541063461641148
GCA_011801305.2	C(CC(=O)O)C(=O)C(=O)O	0.5379605931757605
GCA_033819875.1	C(CC(=O)O)C(=O)C(=O)O	0.386238793235741
GCA_900002365.1	C(CC(=O)O)C(=O)C(=O)O	0.3395189105379023
GCA_020500805.1	C(CC(=O)O)C(=O)C(=O)O	0.4266074542659626
GCA_004679275.1	C(CC(=O)O)C(=O)C(=O)O	0.48234209630643465
GCA_030061565.1	C(CC(=O)O)C(=O)C(=O)O	0.4334818064335966
GCA_000977265.3	C(CC(=O)O)C(=O)C(=O)O	0.3072690334835326
GCA_026024425.1	C(CC(=O)O)C(=O)C(=O)O	0.6345759401765093
GCA_902827195.2	C(CC(=O)O)C(=O)C(=O)O	0.22626162211893808
GCA_001654555.2	C(CC(=O)O)C(=O)C(=O)O	0.25323455929435995
GCA_012656375.1	C(CC(=O)O)C(=O)C(=O)O	0.4309795132472569
GCA_949121745.1	C(CC(=O)O)C(=O)C(=O)O	0.3072690334835326
GCA_003850985.1	C(CC(=O)O)C(=O)C(=O)O	0.36340243274020806
GCA_009193465.1	C(CC(=O)O)C(=O)C(=O)O	0.33237411106825226
GCA_027603655.1	C(CC(=O)O)C(=O)C(=O)O	0.2969288226939792
GCA_949124525.1	C(CC(=O)O)C(=O)C(=O)O	0.22436113565827223
GCA_000524645.1	C(CC(=O)O)C(=O)C(=O)O	0.49050700554263693
GCA_949124365.1	C(CC(=O)O)C(=O)C(=O)O	0.22436113565827223
GCF_030869225.1	C(CC(=O)O)C(=O)C(=O)O	0.514226240896632
GCF_023757985.1	C(CC(=O)O)C(=O)C(=O)O	0.5512044614753927
GCF_028826775.1	C(CC(=O)O)C(=O)C(=O)O	0.3870127301522177
GCF_000026945.1	C(CC(=O)O)C(=O)C(=O)O	0.4772013332009227
GCA_015501605.1	C(CC(=O)O)C(=O)C(=O)O	0.4936282317690581
GCA_000616905.1	C(CC(=O)O)C(=O)C(=O)O	0.4141150438576257
GCA_046127475.1	C(CC(=O)O)C(=O)C(=O)O	0.5537885518524136
GCA_932563355.1	C(CC(=O)O)C(=O)C(=O)O	0.25024626422375756
